2026-04-30 12:25:23,962 : INFO : collecting all words and their counts
2026-04-30 12:25:23,985 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2026-04-30 12:27:03,395 : INFO : EPOCH 0 - PROGRESS: at 36.41% examples, 74291 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:04,397 : INFO : EPOCH 0 - PROGRESS: at 36.93% examples, 74348 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:27:05,400 : INFO : EPOCH 0 - PROGRESS: at 37.44% examples, 74430 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:27:06,411 : INFO : EPOCH 0 - PROGRESS: at 37.92% examples, 74483 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:07,414 : INFO : EPOCH 0 - PROGRESS: at 38.40% examples, 74469 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:08,435 : INFO : EPOCH 0 - PROGRESS: at 38.92% examples, 74556 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:09,443 : INFO : EPOCH 0 - PROGRESS: at 39.40% examples, 74600 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:10,468 : INFO : EPOCH 0 - PROGRESS: at 39.92% examples, 74657 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:11,471 : INFO : EPOCH 0 - PROGRESS: at 40.42% examples, 74693 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:12,471 : INFO : EPOCH 0 - PROGRESS: at 40.92% examples, 74753 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:13,495 : INFO : EPOCH 0 - PROGRESS: at 41.44% examples, 74811 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:14,513 : INFO : EPOCH 0 - PROGRESS: at 41.91% examples, 74766 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:15,517 : INFO : EPOCH 0 - PROGRESS: at 42.41% examples, 74764 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:16,536 : INFO : EPOCH 0 - PROGRESS: at 42.91% examples, 74790 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:17,539 : INFO : EPOCH 0 - PROGRESS: at 43.47% examples, 74855 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:18,565 : INFO : EPOCH 0 - PROGRESS: at 44.01% examples, 74901 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:19,579 : INFO : EPOCH 0 - PROGRESS: at 44.52% examples, 74932 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:27:20,585 : INFO : EPOCH 0 - PROGRESS: at 45.05% examples, 74950 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:21,593 : INFO : EPOCH 0 - PROGRESS: at 45.57% examples, 74971 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:22,594 : INFO : EPOCH 0 - PROGRESS: at 46.12% examples, 75005 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:23,602 : INFO : EPOCH 0 - PROGRESS: at 46.44% examples, 74746 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:27:24,614 : INFO : EPOCH 0 - PROGRESS: at 46.94% examples, 74728 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:25,634 : INFO : EPOCH 0 - PROGRESS: at 47.44% examples, 74738 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:26,642 : INFO : EPOCH 0 - PROGRESS: at 47.93% examples, 74786 words/s, in_qsize 2, out_qsize 0
